Mã phân ngành,Tên phân ngành
78601,An ninh và trật tự xã hội
78690,"An ninh, Quốc phòng - Khác"
73290,Báo chí và thông tin - Khác
73201,Báo chí và truyền thông
75401,"Chế biến lương thực, thực phẩm và đồ uống"
75107,Công nghệ dầu khí và khai thác
75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường"
75190,Công nghệ kỹ thuật - Khác
75102,Công nghệ kỹ thuật cơ khí
75103,"Công nghệ kỹ thuật điện, điện tử và viễn thông"
75108,Công nghệ kỹ thuật in
75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng
74802,Công nghệ thông tin
77601,Công tác xã hội
71402,Đào tạo giáo viên
73105,Địa lý học
78502,Dịch vụ an toàn lao động và vệ sinh công nghiệp
78490,Dịch vụ vận tải - Khác
77690,Dịch vụ xã hội - Khác
77203,Điều dưỡng - hộ sinh
77204,Dinh dưỡng
78101,Du lịch
78190,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân - Khác"
77202,Dược học
73403,Kế toán - Kiểm toán
75490,Sản xuất và chế biến - Khác
78102,"Khách sạn, nhà hàng"
78401,Khai thác vận tải
73102,Khoa học chính trị
71401,Khoa học giáo dục
71490,Khoa học giáo dục và đào tạo giáo viên
74403,Khoa học môi trường
74290,Khoa học sự sống - Khác
74402,Khoa học trái đất
74490,Khoa học tự nhiên - Khác
74401,Khoa học vật chất
73190,Khoa học xã hội và hành vi - Khác
73106,Khu vực học
75801,Kiến trúc và quy hoạch
75890,Kiến trúc và xây dựng - Khác
73401,Kinh doanh
73490,Kinh doanh và quản lý - Khác
78105,Kinh tế gia đình
73101,Kinh tế học
75201,Kỹ thuật cơ khí và cơ kỹ thuật
75205,"Kỹ thuật địa chất, địa vật lý và trắc địa"
75202,"Kỹ thuật điện, điện tử và viễn thông"
75203,"Kỹ thuật hóa học, vật liệu, luyện kim và môi trường"
75206,Kỹ thuật mỏ
77206,Kỹ thuật Y học
76202,Lâm nghiệp
73801,Luật
74801,Máy tính
74890,Máy tính và công nghệ thông tin - Khác
78590,Môi trường và bảo vệ môi trường - Khác
72101,Mỹ thuật
72104,Mỹ thuật ứng dụng
72190,Nghệ thuật - Khác
72103,Nghệ thuật nghe nhìn
72102,Nghệ thuật trình diễn
72202,"Ngôn ngữ, văn học và văn hóa nước ngoài"
72201,"Ngôn ngữ, văn học và văn hóa Việt Nam"
72290,Nhân văn - Khác
76201,Nông nghiệp
75290,"Nông, lâm nghiệp và thủy sản - Khác"
76290,"Nông, lâm nghiệp và thủy sản - Khác"
73890,Pháp luật - Khác
75106,Quản lý công nghiệp
78501,Quản lý tài nguyên và môi trường
75803,Quản lý xây dựng
77208,Quản lý Y tế
78602,Quân sự
73404,Quản trị - Quản lý
77205,Răng - Hàm - Mặt (Nha khoa)
75402,"Sản xuất, chế biến sợi, vải, giày, da"
74201,Sinh học
74202,Sinh học ứng dụng
77290,Sức khỏe - Khác
73402,Tài chính - Ngân hàng - Bảo hiểm
73104,Tâm lý học
78103,"Thể dục, thể thao"
74602,Thống kê
73202,Thông tin - Thư viện
76401,Thú y
76490,Thú y - Khác
76203,Thủy sản
74601,Toán học
74690,Toán và thống kê - Khác
73203,Văn thư - Lưu trữ - Bảo tàng
75204,Vật lý kỹ thuật
73103,Xã hội học và Nhân học
75802,Xây dựng
73204,Xuất bản - Phát hành
77201,Y học
77207,Y tế công cộng
